Name,Type,Pu,UUID,Values,0,1,2,3,4,5,6,7,8,9
V1_phasor_an,8,False,_2f314e3b-57eb-5d60-831d-99c69a1c0d81,rad,-1.57078,-1.57078,-1.57078,-1.57078,-1.57078,-1.57078,-1.57078,-1.57078,-1.57078,-1.57078
V1_phasor_ma,7,False,_2f314e3b-57eb-5d60-831d-99c69a1c0d81,V,7308.937988,7308.937988,7308.937988,7308.937988,7308.937988,7308.937988,7308.937988,7308.937988,7308.937988,7308.937988
I2_phasor_an,14,False,_38c82309-1d7f-5e7c-b41e-09c7d6d37071,rad,-2.111569,-2.111569,-2.111569,-2.111569,-2.111569,-2.111569,-2.111569,-2.111569,-2.111569,-2.111569
I2_phasor_ma,13,False,_38c82309-1d7f-5e7c-b41e-09c7d6d37071,A,53.455387,53.455387,53.455387,53.455387,53.455387,53.455383,53.455383,53.455383,53.455383,53.455387
I3_phasor_an,14,False,_8cfa0329-80eb-5ce6-abcb-2de22c2d216c,rad,-1.992505,-1.992505,-1.992505,-1.992505,-1.992505,-1.992505,-1.992505,-1.992505,-1.992505,-1.992505
I3_phasor_ma,13,False,_8cfa0329-80eb-5ce6-abcb-2de22c2d216c,A,46.065834,46.065834,46.065834,46.065834,46.065834,46.065834,46.065834,46.065834,46.065834,46.065834
I4_phasor_an,14,False,_e9f0016a-b8b8-5c13-bdac-c25cc7e3ae32,rad,-2.039067,-2.039067,-2.039066,-2.039067,-2.039067,-2.039067,-2.039067,-2.039067,-2.039067,-2.039067
I4_phasor_ma,13,False,_e9f0016a-b8b8-5c13-bdac-c25cc7e3ae32,A,31.702988,31.702988,31.702988,31.702988,31.702988,31.702988,31.702988,31.702988,31.702988,31.702988
I5_phasor_an,14,False,_ebb6bf0b-3921-514a-aeb3-529a2dc7d0a5,rad,-1.898351,-1.898351,-1.898351,-1.898351,-1.898351,-1.898351,-1.898351,-1.898351,-1.898351,-1.898351
I5_phasor_ma,13,False,_ebb6bf0b-3921-514a-aeb3-529a2dc7d0a5,A,30.161324,30.161325,30.161325,30.161325,30.161325,30.161325,30.161325,30.161325,30.161325,30.161325
I6_phasor_an,14,False,_2248cb01-e4ac-573f-a813-5d675310820f,rad,-1.905347,-1.905347,-1.905347,-1.905347,-1.905347,-1.905347,-1.905347,-1.905347,-1.905347,-1.905347
I6_phasor_ma,13,False,_2248cb01-e4ac-573f-a813-5d675310820f,A,30.687462,30.68746,30.68746,30.68746,30.687462,30.68746,30.68746,30.687462,30.68746,30.68746
I7_phasor_an,14,False,_f6849451-1b54-5b7c-bc67-4c766345b423,rad,-2.047992,-2.047992,-2.047992,-2.047992,-2.047992,-2.047992,-2.047992,-2.047992,-2.047992,-2.047992
I7_phasor_ma,13,False,_f6849451-1b54-5b7c-bc67-4c766345b423,A,10.857265,10.857265,10.857265,10.857265,10.857265,10.857265,10.857265,10.857265,10.857265,10.857265
I8_phasor_an,14,False,_7ee8d88c-1a83-5ce2-8056-333aa196ba71,rad,-2.034989,-2.034989,-2.034989,-2.034989,-2.034989,-2.034989,-2.034989,-2.034989,-2.034989,-2.034989
I8_phasor_ma,13,False,_7ee8d88c-1a83-5ce2-8056-333aa196ba71,A,20.51185,20.51185,20.51185,20.51185,20.51185,20.51185,20.51185,20.51185,20.51185,20.51185
I9_phasor_an,14,False,_26a560cd-5d87-5dd7-b588-cb2d8efa50ce,rad,-1.577245,-1.577245,-1.577245,-1.577245,-1.577245,-1.577245,-1.577245,-1.577245,-1.577245,-1.577245
I9_phasor_ma,13,False,_26a560cd-5d87-5dd7-b588-cb2d8efa50ce,A,42.209045,42.209042,42.209042,42.209042,42.209042,42.209042,42.209045,42.209042,42.209042,42.209042
I10_phasor_an,14,False,_ce4d9ad0-927b-5126-b1e2-b0e9090aae41,rad,-1.905727,-1.905727,-1.905727,-1.905727,-1.905727,-1.905727,-1.905727,-1.905727,-1.905727,-1.905727
I10_phasor_ma,13,False,_ce4d9ad0-927b-5126-b1e2-b0e9090aae41,A,76.912651,76.912651,76.912651,76.912643,76.912643,76.912643,76.912643,76.912643,76.912643,76.912643
V5pmu_ph,8,False,_ebb6bf0b-3921-514a-aeb3-529a2dc7d0a5,rad,-1.576625,-1.576625,-1.576625,-1.576625,-1.576625,-1.576625,-1.576625,-1.576625,-1.576625,-1.576625
V5pmu_mag,7,False,_ebb6bf0b-3921-514a-aeb3-529a2dc7d0a5,V,6989.638672,6989.638672,6989.63916,6989.63916,6989.63916,6989.63916,6989.63916,6989.63916,6989.63916,6989.63916
V7pmu_ph,8,False,_f6849451-1b54-5b7c-bc67-4c766345b423,rad,-1.584377,-1.584377,-1.584377,-1.584377,-1.584377,-1.584377,-1.584377,-1.584377,-1.584377,-1.584377
V7pmu_mag,7,False,_f6849451-1b54-5b7c-bc67-4c766345b423,V,6864.931152,6864.931152,6864.931152,6864.931152,6864.931152,6864.931152,6864.931152,6864.931152,6864.931152,6864.931152
V9pmu_ph,8,False,_26a560cd-5d87-5dd7-b588-cb2d8efa50ce,rad,-1.576134,-1.576134,-1.576134,-1.576134,-1.576134,-1.576134,-1.576134,-1.576134,-1.576134,-1.576134
V9pmu_mag,7,False,_26a560cd-5d87-5dd7-b588-cb2d8efa50ce,V,7107.486328,7107.48584,7107.486328,7107.486328,7107.48584,7107.48584,7107.486328,7107.48584,7107.48584,7107.48584
